row,Adaptation – Adaptation,Barriers And Challenges – Barriers,Barriers And Challenges – Challenges,Barriers And Challenges – Lessons Learned,Capacity Building – Capacity-Building,Climate Related Hazards – Environmental Degradatation,Climate Related Hazards – Extreme Weather,Climate Related Hazards – Health Hazards,Climate Related Hazards – Infrastructure Failure,Climate Related Hazards – Marine Hazards,Climate Related Hazards – Terrestrial Hazards,Deforestation – Afforestation,Deforestation – Deforestation,Deforestation – Forest-Risk Commodities,Deforestation – Forests,Deforestation – Illegal Logging,Deforestation – Rainforests,Deforestation – Reforestation,Deforestation – Revegetation,Deforestation – Tropical Forests,Deforestation – Woodlands,Equity And Just Transition – Equity And Justice,Equity And Just Transition – Gender Equality,Equity And Just Transition – Inequality & Human Rights,Equity And Just Transition – Just Transition,Equity And Just Transition – Needs-Based Approach,Financial Flows – Financial Flow,Fossil Fuels – Coal,Fossil Fuels – Fossil Fuel,Fossil Fuels – Gas,Fossil Fuels – Oil,Good Practice And Opportunities – Case Study,Good Practice And Opportunities – Good Practice,Good Practice And Opportunities – Opportunity,Good Practice And Opportunities – Success,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Chlorofluorocarbons,Greenhouse Gases – Emissions,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Hydrochlorofluorocarbons,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Methane,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Nitrous Oxide,Greenhouse Gases – Ozone,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Sulphur Hexafluoride,International Cooperation – International Cooperation,Loss And Damage – Loss & Damage,Mitigation – Mitigation,Policy Instruments – Economic Instruments,Policy Instruments – Governance,Policy Instruments – Information And Education,Policy Instruments – Regulatory Instruments,Renewables – Bioenergy,Renewables – Geothermal Energy,Renewables – Heat Pumps,Renewables – Hydropower,Renewables – Marine Energy,Renewables – Renewable Energy (General),Renewables – Renewable Hydrogen,Renewables – Solar Energy,Renewables – Wind Energy,Response Measures – Response Measures,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Buildings,Sectors – Energy,Sectors – Fisheries & Aquaculture,Sectors – Health Services,Sectors – Industry,Sectors – Insurance & Financial Services,Sectors – Tourism,Sectors – Transport,Sectors – Water Services,Technologies (Adaptation) – Agriculture And Land Management Technologies,Technologies (Adaptation) – Buildings And Homes Technologies,Technologies (Adaptation) – Energy And Power Technologies,Technologies (Adaptation) – Hazard Management Technologies,Technologies (Adaptation) – Transport Technologies,Technologies (Adaptation) – Water Management And Conservation Technologies,Technologies (Mitigation) – Agriculture And Land Management Technologies,Technologies (Mitigation) – Buildings And Homes Technologies,Technologies (Mitigation) – Carbon Capture And Storage,Technologies (Mitigation) – Clean Technologies (General),Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Industrial Technologies,Technologies (Mitigation) – Transport Technologies,Technologies (Mitigation) – Waste And Recycling Technologies,Vulnerable Groups – Children,Vulnerable Groups – Indigenous People,Vulnerable Groups – Local And Rural Communities,Vulnerable Groups – Migrants,Vulnerable Groups – People With Chronic Diseases,Vulnerable Groups – People With Disabilities,Vulnerable Groups – The Elderly,Vulnerable Groups – Vulnerable Groups,Vulnerable Groups – Women And Girls
Climate Related Hazards – Terrestrial Hazards,208,94,90,6,3,218,1981,44,5,70,1416,5,18,25,245,2,1,7,6,0,0,2,0,2,68,0,528,2,3,6,17,2,0,42,0,3,0,61,70,0,0,0,0,1,0,0,0,0,0,11,43,91,59,111,220,19,2,0,31,0,5,0,2,0,0,449,72,34,24,64,52,50,101,71,589,0,3,0,53,0,3,1,0,1,1,7,0,2,3,13,5,9,0,0,2,11,5,23
Deforestation – Afforestation,201,93,66,4,13,136,89,4,0,4,5,1060,481,70,2995,3,1,719,45,2,91,5,0,2,40,0,599,57,21,78,12,5,8,68,32,137,0,917,349,0,6,66,1,32,0,0,2,1,15,0,488,344,132,275,440,358,2,1,6,0,80,0,23,6,6,1548,7,143,32,11,92,65,10,24,129,7,1,0,18,0,13,25,15,386,0,38,0,9,11,14,38,23,0,0,0,1,6,13
Deforestation – Deforestation,315,166,262,2,56,412,335,31,1,29,15,435,4917,480,9628,37,51,408,63,98,25,12,3,14,157,0,1661,386,77,53,165,4,25,190,31,243,0,5023,1211,1,10,70,3,15,8,1,2,4,28,5,946,705,568,398,765,658,0,0,29,0,146,0,37,4,3,4743,10,335,64,33,285,207,10,24,218,13,2,0,173,0,5,30,21,214,3,73,2,5,29,18,143,78,1,0,0,3,3,63
Deforestation – Forest-Risk Commodities,333,103,217,0,29,117,737,66,0,14,39,78,489,9343,3636,47,17,65,6,17,41,7,2,9,202,0,1984,109,90,606,931,5,21,178,43,192,0,5574,1247,0,24,1085,3,168,24,9,26,15,11,3,420,981,463,580,1722,1258,5,1,44,1,129,6,44,7,7,7125,28,588,446,39,1854,94,44,48,361,64,1,0,29,0,19,736,9,141,6,113,4,11,78,31,79,37,0,0,0,2,14,70
Deforestation – Forests,3849,1124,1339,12,468,2348,3575,191,5,189,267,3025,9353,3542,89102,282,411,2263,86,719,729,115,25,52,944,0,9420,1215,439,676,747,41,523,1120,244,2285,4,23748,10518,7,262,1008,57,370,97,22,187,271,98,26,5688,4260,5872,3853,6833,8169,31,17,167,2,843,2,213,83,31,41057,24,2790,1212,123,2807,884,443,276,1748,110,5,0,1322,0,65,270,64,2175,46,525,14,27,170,195,794,465,1,0,4,11,64,391
Deforestation – Illegal Logging,4,7,3,0,0,10,15,1,0,0,1,2,69,62,298,60,0,10,0,1,0,0,0,0,4,0,25,2,0,0,9,0,1,3,4,1,0,56,19,0,0,0,0,0,0,0,0,0,0,0,16,12,10,12,44,9,0,0,1,0,0,0,0,0,0,111,0,1,1,5,52,2,2,1,2,1,0,0,5,0,0,0,0,6,0,1,0,0,0,1,1,4,0,0,0,1,0,1
Deforestation – Rainforests,9,6,8,1,2,12,43,0,0,2,3,1,54,11,328,0,66,2,0,8,3,1,0,0,4,0,77,1,1,0,3,0,2,1,2,2,0,34,27,0,0,0,0,1,0,0,0,0,0,0,7,14,10,14,14,51,1,0,1,0,3,0,2,1,0,177,0,4,14,4,8,7,7,2,13,0,0,0,2,0,4,0,0,9,0,1,0,0,6,0,20,5,0,0,0,0,0,2
Deforestation – Reforestation,188,55,61,0,22,110,85,5,0,5,7,727,440,67,2220,14,4,529,48,5,25,2,0,0,38,0,417,34,11,14,23,3,10,71,49,80,0,559,240,1,5,7,3,2,2,0,3,3,7,0,444,210,146,253,305,199,2,0,13,0,70,1,19,4,1,1255,2,130,32,3,90,40,11,14,84,11,2,0,24,0,2,22,20,222,4,32,1,3,7,9,24,33,0,0,0,0,7,15
Deforestation – Revegetation,8,0,0,0,0,4,2,0,0,0,0,47,35,1,80,0,0,36,9,0,3,0,0,0,2,0,10,0,0,1,1,0,0,3,0,3,0,45,12,0,3,1,1,0,0,0,2,1,0,0,52,5,8,10,16,2,0,0,0,0,13,0,0,0,0,56,1,11,0,0,7,3,0,6,4,0,0,0,4,0,0,21,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deforestation – Tropical Forests,20,7,16,0,2,3,34,0,0,0,0,0,109,23,778,2,9,10,0,69,3,2,0,0,7,0,135,6,5,2,5,0,3,19,2,0,0,92,50,0,0,7,0,2,3,0,0,0,1,0,32,24,7,9,27,46,0,0,0,0,5,0,3,0,0,281,0,5,8,1,7,23,3,1,20,0,0,0,3,0,0,4,0,15,0,0,0,0,5,2,6,2,0,0,0,0,3,1
Deforestation – Woodlands,15,3,11,0,1,37,16,0,0,0,1,105,35,52,864,0,5,15,4,1,427,0,0,0,6,0,181,20,0,1,0,2,1,18,5,6,0,85,20,0,1,4,1,0,0,0,0,1,1,0,13,75,34,40,70,57,0,0,4,0,12,0,2,3,0,405,0,16,9,0,20,9,1,3,22,0,0,0,1,0,2,0,0,27,1,3,0,0,1,2,33,2,0,0,0,0,0,1
Equity And Just Transition – Equity And Justice,671,83,272,5,67,27,47,45,0,12,1,6,12,7,105,0,0,0,0,0,0,1711,160,278,490,9,1770,24,138,11,18,5,10,228,47,27,0,616,203,0,3,9,0,2,0,0,1,1,49,85,540,469,264,401,108,17,1,3,3,0,133,1,23,2,26,152,41,248,25,253,119,478,6,39,68,2,0,0,4,0,1,0,3,12,16,25,0,3,6,182,172,42,21,0,23,5,109,888
Equity And Just Transition – Gender Equality,223,32,37,1,21,16,27,11,0,0,0,0,8,1,29,0,0,0,0,0,0,156,225,290,96,0,182,0,3,1,1,0,6,93,21,2,0,27,16,0,0,0,0,0,0,0,0,0,4,4,122,45,107,240,53,3,5,0,0,0,18,1,3,1,1,70,3,45,14,93,34,52,8,9,49,0,0,0,0,0,0,0,0,0,1,8,0,0,2,83,42,25,11,0,28,6,52,2366
Equity And Just Transition – Inequality & Human Rights,361,84,196,4,47,49,95,85,1,8,6,2,12,11,54,0,1,1,0,1,0,292,244,569,320,0,443,12,42,2,7,2,6,192,24,7,0,147,56,0,1,1,0,1,0,1,1,1,13,24,183,173,137,292,108,2,1,0,0,0,30,1,2,2,43,149,26,96,19,289,78,163,11,17,127,1,0,0,6,0,1,0,2,18,8,13,0,0,1,161,143,37,30,0,36,19,84,1473
Equity And Just Transition – Just Transition,1387,287,527,14,146,388,1446,248,1,142,64,44,127,213,892,1,8,33,0,4,14,472,102,330,4147,0,2983,337,313,55,152,32,77,814,72,31,0,767,447,0,5,23,0,8,7,2,4,10,57,83,549,1296,617,1612,525,164,6,12,25,0,425,7,142,27,284,1612,100,828,395,600,1207,736,166,185,569,19,1,0,99,2,15,10,29,92,41,134,0,51,39,309,305,230,32,0,36,42,267,1095
Equity And Just Transition – Needs-Based Approach,7,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,10,0,0,0,0,0,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,2,0,0,0,0,0,2
Financial Flows – Financial Flow,20791,2696,5504,95,3378,1847,9449,1825,47,472,471,578,1632,2001,9622,26,98,376,2,86,195,1787,191,497,3006,23,509557,2366,3761,2750,7243,138,451,4856,972,2641,12,23916,12630,17,258,843,2,143,151,45,48,98,732,718,13535,73069,4963,2552,3406,3820,408,336,737,75,10310,131,3880,1181,158,11493,2950,21224,1720,2397,8466,40938,1398,6965,4443,85,23,1,857,2,271,78,731,2000,1334,4527,26,2879,991,835,664,555,90,2,79,66,555,2347
Fossil Fuels – Coal,105,177,204,0,21,190,166,36,9,13,1,64,410,95,1147,3,2,44,0,14,39,32,1,9,291,0,2283,11226,1087,2309,2247,6,19,148,44,449,0,6444,4577,0,32,809,0,63,8,5,15,6,5,2,414,1071,271,243,2219,1103,128,32,343,6,1148,14,467,246,1,1248,108,4683,43,24,3283,222,5,239,266,1,0,0,55,1,2,8,37,393,26,379,2,29,90,13,38,24,2,0,0,0,5,18
Fossil Fuels – Fossil Fuel,92,199,235,1,34,74,49,94,2,5,1,21,72,59,376,0,7,21,1,1,2,120,2,35,326,0,3881,967,2869,1309,1802,9,20,308,44,555,4,5802,3867,2,47,608,11,128,30,9,26,20,39,15,557,1382,188,233,1415,1140,65,52,193,1,1434,22,374,141,48,443,158,4061,26,66,1712,403,5,638,144,2,0,0,3,0,11,26,75,374,42,322,2,109,93,15,47,22,0,0,0,3,15,42
Fossil Fuels – Gas,73,183,204,4,22,108,173,36,34,8,6,55,44,710,621,0,1,13,2,3,2,14,0,0,46,0,2635,2366,1084,10507,5572,1,74,290,24,2199,31,16761,17159,16,617,12163,132,1925,184,40,469,499,2,2,838,1277,472,474,3927,2212,119,44,233,2,957,28,471,133,5,2443,277,9696,70,42,3405,86,2,1224,1285,1,1,0,39,0,52,556,102,287,49,463,3,180,291,9,37,9,3,0,0,2,0,11
Fossil Fuels – Oil,102,262,400,6,29,92,211,127,20,24,10,12,203,895,646,7,7,21,1,7,2,30,0,14,167,0,7471,2363,1703,5322,21194,12,29,335,43,804,0,10467,12051,1,51,1151,4,86,31,14,21,20,10,4,621,2646,473,395,4582,3763,142,90,471,5,1465,16,975,183,104,1202,207,10097,185,40,4873,243,63,3294,208,0,1,0,31,0,27,23,133,340,77,677,0,486,99,15,97,60,0,0,0,0,5,71
Good Practice And Opportunities – Case Study,190,21,50,12,12,55,122,13,0,15,3,7,3,14,67,0,1,5,1,1,2,7,0,5,26,0,96,2,6,8,4,101,20,29,16,4,0,42,31,0,0,3,0,1,0,0,0,0,1,5,62,84,29,174,56,12,0,0,7,1,20,0,19,7,30,186,18,82,51,41,34,64,27,20,99,1,2,0,16,0,3,0,1,9,1,8,1,4,3,0,14,5,0,0,0,0,6,16
Good Practice And Opportunities – Good Practice,406,54,143,137,90,38,60,16,0,5,1,9,37,41,534,2,0,19,0,4,1,14,4,6,49,0,477,18,36,78,31,9,440,209,54,70,0,1206,1316,0,23,103,2,18,5,2,21,26,42,11,218,186,445,810,270,108,5,1,4,1,91,0,18,5,8,739,63,353,42,32,247,169,21,41,144,2,0,0,35,0,1,20,10,31,7,70,0,7,20,9,41,26,0,0,3,0,3,102
Good Practice And Opportunities – Opportunity,3065,698,1494,64,315,212,677,195,1,102,46,74,248,148,1226,1,2,73,6,23,17,221,60,182,838,7,4545,204,306,285,294,30,228,2864,193,155,0,2961,1557,0,36,176,0,11,13,4,1,9,142,79,1859,2499,1081,2316,1451,614,62,33,122,6,1217,34,468,148,49,1757,468,2316,386,338,1373,1496,207,591,854,17,3,2,142,2,31,19,104,412,167,655,8,158,164,370,282,187,10,0,20,7,98,938
Good Practice And Opportunities – Success,719,140,265,26,88,59,116,42,0,5,9,33,43,32,292,7,3,49,1,0,4,46,14,25,76,1,911,48,32,31,62,18,62,224,228,30,0,484,273,0,9,20,0,0,0,0,2,3,26,17,299,395,330,572,229,85,9,1,4,1,118,5,105,15,7,384,45,356,75,66,177,310,15,66,164,7,1,0,40,0,5,4,6,53,14,94,0,15,13,50,43,39,4,0,0,0,13,110
Greenhouse Gases – Carbon Dioxide,127,133,162,2,25,123,155,43,0,69,9,77,253,214,2304,1,6,60,4,6,8,20,3,10,32,0,2593,458,500,2146,719,12,68,137,16,5890,36,17094,8152,25,1070,3796,189,1709,197,101,801,826,11,2,791,749,356,230,1645,1056,26,8,44,2,313,9,187,58,23,2583,152,3789,140,49,2782,126,23,822,442,4,0,0,23,0,14,142,23,1300,19,199,3,143,118,16,8,9,0,0,0,1,1,8
Greenhouse Gases – Chlorofluorocarbons,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,2,28,0,0,1,0,0,43,130,155,168,128,236,40,8,28,117,83,69,62,0,0,12,6,1,7,84,1,0,2,0,0,1,0,4,0,0,17,0,119,4,3,131,1,0,3,9,0,0,0,1,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Greenhouse Gases – Emissions,3655,2449,3664,50,1087,1441,1626,1023,11,237,49,873,5018,5492,23794,57,51,584,36,91,65,633,38,131,737,1,24113,6290,5861,16853,10382,59,1283,2953,476,17029,162,227206,122813,132,6624,23605,928,6050,1364,1330,3669,3800,224,91,18725,12744,12123,5517,28050,12145,273,127,740,20,5387,109,1596,441,89,38864,2796,47737,1266,1016,34302,4179,344,13685,9735,106,3,1,544,3,324,4796,390,3204,777,3227,18,1512,2237,181,340,136,4,0,5,13,85,351
Greenhouse Gases – Greenhouse Gases,3075,1503,2663,61,1263,899,900,377,50,130,84,344,1204,1272,10267,15,36,243,18,40,22,264,18,78,431,0,12387,4581,3880,17468,12013,30,1385,1585,289,7941,169,123842,76599,122,4214,10022,811,2688,1190,678,2519,2858,159,49,12694,6255,9916,3768,13126,6127,286,210,681,25,3774,55,1365,363,109,15087,1395,30877,528,582,17290,2529,197,5392,3943,56,8,0,391,1,119,825,341,1520,235,1849,9,497,935,119,151,100,4,0,0,10,50,318
Greenhouse Gases – Hydrochlorofluorocarbons,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,6,12,1,0,0,0,0,37,111,191,159,129,248,23,3,16,136,77,39,54,0,0,11,5,6,24,77,0,0,1,0,0,0,0,3,0,0,27,0,129,5,5,132,0,0,1,7,0,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0
Greenhouse Gases – Hydrofluorocarbons,12,72,94,1,13,17,7,7,0,0,0,5,8,20,248,0,0,2,0,0,0,5,0,1,2,0,354,24,39,703,54,0,36,21,5,1097,208,6731,4237,196,3179,1244,436,578,634,568,2156,1861,0,0,220,150,233,96,964,63,5,23,0,0,41,1,10,2,0,628,61,2605,16,28,2337,32,9,102,63,0,0,0,1,0,1,8,16,45,2,49,0,5,50,1,0,1,0,0,0,0,0,0
Greenhouse Gases – Methane,69,107,186,4,22,130,257,15,0,9,1,88,70,1099,1053,0,0,15,2,6,3,2,0,0,20,0,874,816,589,12382,1054,4,102,192,17,3711,35,23524,9951,19,1159,9223,283,2753,253,74,839,893,5,1,818,404,462,365,2454,1458,9,1,33,1,177,5,49,20,5,4115,79,6449,106,69,3144,71,5,381,2125,6,0,0,31,0,69,1118,19,172,18,114,1,19,399,5,11,7,0,0,0,0,0,1
Greenhouse Gases – Nitrogen Trifluoride,2,5,4,0,0,10,0,0,0,0,0,3,2,2,55,0,0,1,1,0,0,0,0,0,0,0,4,2,10,140,2,0,3,2,0,201,7,932,618,3,466,277,192,124,19,26,487,427,0,0,11,8,22,2,45,9,0,0,0,0,0,0,8,0,0,110,0,257,0,9,294,0,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenhouse Gases – Nitrous Oxide,22,36,33,1,0,27,20,3,0,4,0,61,21,147,405,0,0,4,1,3,0,1,0,0,1,0,124,64,90,1878,55,1,27,14,1,1821,23,6311,2804,14,589,2815,160,1161,48,22,509,561,0,0,140,67,98,52,521,225,0,0,3,0,21,0,5,4,0,1332,7,1361,19,30,988,4,0,76,469,8,0,0,1,0,12,405,1,69,0,18,0,0,62,1,1,0,0,0,0,0,0,1
Greenhouse Gases – Ozone,36,25,25,1,10,128,47,28,0,5,0,4,8,12,76,0,0,1,0,1,1,1,0,0,5,0,153,9,34,196,25,0,8,12,0,206,165,1310,1173,146,671,262,33,48,1025,690,208,174,7,0,84,43,163,86,380,31,1,6,0,0,6,0,34,1,0,349,12,586,16,87,629,19,3,45,96,0,0,0,23,0,0,3,6,5,3,15,0,1,14,11,1,3,0,0,0,4,1,0
Greenhouse Gases – Ozone-Depleting Substances,4,13,20,0,6,13,0,4,0,0,0,0,1,9,16,0,0,0,0,0,0,2,1,1,1,0,70,5,6,23,17,0,4,2,0,99,81,1347,662,74,566,73,13,21,649,455,223,132,9,0,19,38,52,59,279,10,0,2,2,0,1,0,6,0,0,117,8,444,6,9,632,11,2,6,11,0,0,0,0,0,1,7,3,1,0,0,0,0,12,1,0,0,0,0,0,0,0,3
Greenhouse Gases – Perfluorocarbons,7,11,57,0,4,7,4,2,0,0,0,4,4,23,195,0,0,3,1,0,0,3,0,1,5,0,78,14,21,452,22,0,33,3,2,774,71,3774,2354,34,2115,829,442,416,214,200,1110,1817,1,0,72,50,141,38,332,44,1,5,1,1,7,0,8,0,0,354,6,1115,1,11,1358,7,1,31,15,0,0,0,0,0,0,9,3,35,0,1,0,0,27,1,1,0,0,0,0,0,0,1
Greenhouse Gases – Sulphur Hexafluoride,19,18,65,0,6,8,3,4,0,0,0,4,2,7,198,0,0,2,1,0,0,3,0,1,9,0,87,7,27,506,11,0,38,7,17,785,63,3487,2628,42,1855,881,524,458,138,118,1827,1408,0,2,67,39,121,43,418,29,0,3,2,0,5,0,11,0,0,384,11,1265,1,21,1392,14,2,26,26,0,0,0,24,0,0,1,2,28,0,1,0,0,16,0,0,0,0,0,0,0,0,0
