,Concept 1,Concept 2,Count
41,Equity And Just Transition – Just Transition,Sectors – Water Services,1082
42,Deforestation – Forests,Sectors – Water Services,3501
43,Policy Instruments – Economic Instruments,Sectors – Water Services,4445
44,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Industry,19157
45,Equity And Just Transition – Just Transition,"Sectors – Agriculture, Forestry And Other Land Use",3191
46,Equity And Just Transition – Just Transition,Sectors – Industry,2419
47,Deforestation – Forests,Sectors – Industry,5695
48,Policy Instruments – Economic Instruments,Sectors – Industry,13607
49,Deforestation – Forests,Equity And Just Transition – Just Transition,1836
50,Equity And Just Transition – Just Transition,Policy Instruments – Economic Instruments,2651
51,Good Practice And Opportunities – Opportunity,Policy Instruments – Governance,2105
52,Good Practice And Opportunities – Opportunity,Vulnerable Groups – Indigenous People,593
53,Financial Flows – Financial Flow,Sectors – Industry,17371
54,Deforestation – Forest-Risk Commodities,Sectors – Industry,3694
55,Financial Flows – Financial Flow,"Sectors – Agriculture, Forestry And Other Land Use",22676
56,Deforestation – Forest-Risk Commodities,"Sectors – Agriculture, Forestry And Other Land Use",14172
57,Deforestation – Forest-Risk Commodities,Financial Flows – Financial Flow,3985
58,Financial Flows – Financial Flow,Policy Instruments – Governance,9720
59,Policy Instruments – Governance,Sectors – Insurance & Financial Services,6639
60,Equity And Just Transition – Inequality & Human Rights,Policy Instruments – Governance,262
61,Financial Flows – Financial Flow,Sectors – Insurance & Financial Services,81614
62,Equity And Just Transition – Inequality & Human Rights,Financial Flows – Financial Flow,940
63,Equity And Just Transition – Inequality & Human Rights,Sectors – Insurance & Financial Services,331
64,Vulnerable Groups – Local And Rural Communities,Vulnerable Groups – Vulnerable Groups,116
65,Vulnerable Groups – Indigenous People,Vulnerable Groups – Vulnerable Groups,265
66,Equity And Just Transition – Inequality & Human Rights,Vulnerable Groups – Vulnerable Groups,181
67,Vulnerable Groups – Indigenous People,Vulnerable Groups – Local And Rural Communities,1076
68,Equity And Just Transition – Inequality & Human Rights,Vulnerable Groups – Local And Rural Communities,77
69,Equity And Just Transition – Inequality & Human Rights,Vulnerable Groups – Indigenous People,275
70,Climate Related Hazards – Extreme Weather,"Sectors – Agriculture, Forestry And Other Land Use",19130
71,Greenhouse Gases – Greenhouse Gases,"Sectors – Agriculture, Forestry And Other Land Use",30630
72,Greenhouse Gases – Methane,"Sectors – Agriculture, Forestry And Other Land Use",8240
73,Mitigation – Mitigation,"Sectors – Agriculture, Forestry And Other Land Use",12436
74,Greenhouse Gases – Nitrous Oxide,"Sectors – Agriculture, Forestry And Other Land Use",2696
75,Climate Related Hazards – Marine Hazards,"Sectors – Agriculture, Forestry And Other Land Use",1505
76,Adaptation – Adaptation,"Sectors – Agriculture, Forestry And Other Land Use",14763
77,Fossil Fuels – Gas,"Sectors – Agriculture, Forestry And Other Land Use",4788
78,Greenhouse Gases – Emissions,"Sectors – Agriculture, Forestry And Other Land Use",78445
79,Climate Related Hazards – Extreme Weather,Equity And Just Transition – Just Transition,2814
80,Equity And Just Transition – Just Transition,Greenhouse Gases – Greenhouse Gases,878
81,Equity And Just Transition – Just Transition,Greenhouse Gases – Methane,43
82,Equity And Just Transition – Just Transition,Mitigation – Mitigation,1064
83,Equity And Just Transition – Just Transition,Greenhouse Gases – Nitrous Oxide,9
84,Climate Related Hazards – Marine Hazards,Equity And Just Transition – Just Transition,304
85,Adaptation – Adaptation,Equity And Just Transition – Just Transition,2761
86,Equity And Just Transition – Just Transition,Fossil Fuels – Gas,101
87,Equity And Just Transition – Just Transition,Greenhouse Gases – Emissions,1504
88,Climate Related Hazards – Extreme Weather,Greenhouse Gases – Greenhouse Gases,1829
89,Climate Related Hazards – Extreme Weather,Greenhouse Gases – Methane,519
90,Climate Related Hazards – Extreme Weather,Climate Related Hazards – Extreme Weather,45884
91,Climate Related Hazards – Extreme Weather,Mitigation – Mitigation,1763
92,Climate Related Hazards – Extreme Weather,Greenhouse Gases – Nitrous Oxide,57
93,Climate Related Hazards – Extreme Weather,Climate Related Hazards – Marine Hazards,5151
94,Adaptation – Adaptation,Climate Related Hazards – Extreme Weather,8150
95,Climate Related Hazards – Extreme Weather,Fossil Fuels – Gas,362
96,Climate Related Hazards – Extreme Weather,Greenhouse Gases – Emissions,3357
97,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Methane,19973
98,Greenhouse Gases – Greenhouse Gases,Mitigation – Mitigation,25520
99,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Nitrous Oxide,5492
100,Climate Related Hazards – Marine Hazards,Greenhouse Gases – Greenhouse Gases,280
101,Adaptation – Adaptation,Greenhouse Gases – Greenhouse Gases,6237
102,Fossil Fuels – Gas,Greenhouse Gases – Greenhouse Gases,34627
103,Greenhouse Gases – Emissions,Greenhouse Gases – Greenhouse Gases,246655
104,Greenhouse Gases – Methane,Mitigation – Mitigation,1619
105,Greenhouse Gases – Methane,Greenhouse Gases – Nitrous Oxide,5568
106,Climate Related Hazards – Marine Hazards,Greenhouse Gases – Methane,20
107,Adaptation – Adaptation,Greenhouse Gases – Methane,144
108,Fossil Fuels – Gas,Greenhouse Gases – Methane,24545
109,Greenhouse Gases – Emissions,Greenhouse Gases – Methane,47129
110,Greenhouse Gases – Nitrous Oxide,Mitigation – Mitigation,275
111,Climate Related Hazards – Marine Hazards,Mitigation – Mitigation,176
112,Adaptation – Adaptation,Mitigation – Mitigation,27585
113,Fossil Fuels – Gas,Mitigation – Mitigation,1720
114,Greenhouse Gases – Emissions,Mitigation – Mitigation,37447
115,Climate Related Hazards – Marine Hazards,Greenhouse Gases – Nitrous Oxide,7
116,Adaptation – Adaptation,Greenhouse Gases – Nitrous Oxide,44
117,Fossil Fuels – Gas,Greenhouse Gases – Nitrous Oxide,3803
118,Greenhouse Gases – Emissions,Greenhouse Gases – Nitrous Oxide,12361
119,Adaptation – Adaptation,Climate Related Hazards – Marine Hazards,1371
120,Climate Related Hazards – Marine Hazards,Fossil Fuels – Gas,17
121,Climate Related Hazards – Marine Hazards,Greenhouse Gases – Emissions,507
122,Adaptation – Adaptation,Fossil Fuels – Gas,156
123,Adaptation – Adaptation,Greenhouse Gases – Emissions,7308
124,Fossil Fuels – Gas,Greenhouse Gases – Emissions,33614
125,Greenhouse Gases – Emissions,Greenhouse Gases – Emissions,227206
126,Greenhouse Gases – Greenhouse Gases,Sectors – Energy,61708
127,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Greenhouse Gases,16093
128,Deforestation – Forests,Greenhouse Gases – Emissions,47542
129,Deforestation – Forests,Sectors – Energy,5742
130,Greenhouse Gases – Emissions,Sectors – Energy,95730
131,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Energy,12505
132,Good Practice And Opportunities – Opportunity,Greenhouse Gases – Emissions,5914
133,Greenhouse Gases – Emissions,Policy Instruments – Economic Instruments,25533
134,Financial Flows – Financial Flow,Greenhouse Gases – Emissions,48029
135,Barriers And Challenges – Lessons Learned,Greenhouse Gases – Emissions,95
136,Greenhouse Gases – Emissions,Renewables – Renewable Energy (General),10722
137,Barriers And Challenges – Lessons Learned,Financial Flows – Financial Flow,218
138,Financial Flows – Financial Flow,Financial Flows – Financial Flow,509557
139,Financial Flows – Financial Flow,Policy Instruments – Economic Instruments,146431
140,Financial Flows – Financial Flow,Sectors – Energy,42427
141,Financial Flows – Financial Flow,Renewables – Renewable Energy (General),20478
142,Barriers And Challenges – Lessons Learned,Sectors – Insurance & Financial Services,97
143,Barriers And Challenges – Lessons Learned,Policy Instruments – Economic Instruments,81
144,Barriers And Challenges – Lessons Learned,Sectors – Energy,75
145,Barriers And Challenges – Lessons Learned,Renewables – Renewable Energy (General),64
146,Sectors – Energy,Sectors – Insurance & Financial Services,3887
147,Renewables – Renewable Energy (General),Sectors – Insurance & Financial Services,2205
148,Policy Instruments – Economic Instruments,Sectors – Energy,23242
149,Policy Instruments – Economic Instruments,Renewables – Renewable Energy (General),8103
150,Renewables – Renewable Energy (General),Sectors – Energy,25869
151,Equity And Just Transition – Equity And Justice,"Sectors – Agriculture, Forestry And Other Land Use",335
152,Equity And Just Transition – Equity And Justice,Vulnerable Groups – Indigenous People,352
153,Sectors – Industry,Vulnerable Groups – Indigenous People,310
154,Vulnerable Groups – Indigenous People,Vulnerable Groups – Indigenous People,2623
155,Equity And Just Transition – Equity And Justice,Sectors – Industry,240
156,Deforestation – Forests,Equity And Just Transition – Equity And Justice,220
157,Greenhouse Gases – Emissions,Renewables – Bioenergy,24095
158,Deforestation – Forests,Renewables – Bioenergy,16215
159,Policy Instruments – Economic Instruments,Renewables – Bioenergy,3858
160,Renewables – Bioenergy,"Sectors – Agriculture, Forestry And Other Land Use",14861
161,Deforestation – Forests,Policy Instruments – Information And Education,7744
162,Deforestation – Forests,Technologies (Mitigation) – Carbon Capture And Storage,4349
163,Policy Instruments – Information And Education,"Sectors – Agriculture, Forestry And Other Land Use",19659
164,Policy Instruments – Information And Education,Technologies (Mitigation) – Carbon Capture And Storage,904
165,"Sectors – Agriculture, Forestry And Other Land Use",Technologies (Mitigation) – Carbon Capture And Storage,3583
166,Policy Instruments – Regulatory Instruments,"Sectors – Agriculture, Forestry And Other Land Use",24035
167,Deforestation – Deforestation,Policy Instruments – Regulatory Instruments,1542
168,Deforestation – Forest-Risk Commodities,Policy Instruments – Information And Education,1233
169,Deforestation – Forest-Risk Commodities,Deforestation – Forests,7178
170,Deforestation – Forest-Risk Commodities,Policy Instruments – Regulatory Instruments,3355
171,Policy Instruments – Information And Education,Sectors – Industry,7846
172,Policy Instruments – Information And Education,Policy Instruments – Regulatory Instruments,10847
173,Deforestation – Forests,Policy Instruments – Regulatory Instruments,13789
174,Policy Instruments – Regulatory Instruments,Sectors – Industry,17743
175,Deforestation – Forests,Deforestation – Illegal Logging,580
176,Deforestation – Illegal Logging,"Sectors – Agriculture, Forestry And Other Land Use",222
177,Deforestation – Forest-Risk Commodities,Deforestation – Forest-Risk Commodities,9343
178,Deforestation – Forest-Risk Commodities,Deforestation – Illegal Logging,109
179,Deforestation – Illegal Logging,Policy Instruments – Regulatory Instruments,86
180,Deforestation – Illegal Logging,Sectors – Industry,75
181,Policy Instruments – Economic Instruments,Policy Instruments – Information And Education,3020
182,Deforestation – Deforestation,Policy Instruments – Information And Education,801
183,Deforestation – Deforestation,Deforestation – Deforestation,4917
184,Renewables – Hydropower,Sectors – Water Services,1933
185,Sectors – Energy,Sectors – Water Services,16708
186,Policy Instruments – Regulatory Instruments,Sectors – Water Services,16596
187,Deforestation – Forests,Renewables – Hydropower,370
188,Renewables – Hydropower,Sectors – Energy,4221
189,Policy Instruments – Regulatory Instruments,Renewables – Hydropower,1993
190,Policy Instruments – Regulatory Instruments,Sectors – Energy,49288
191,Sectors – Industry,Technologies (Mitigation) – Energy And Power Technologies,1988
192,Greenhouse Gases – Emissions,Sectors – Industry,68467
193,Greenhouse Gases – Emissions,Technologies (Mitigation) – Energy And Power Technologies,6434
194,"Sectors – Agriculture, Forestry And Other Land Use",Technologies (Mitigation) – Energy And Power Technologies,1391
195,Policy Instruments – Regulatory Instruments,Technologies (Mitigation) – Energy And Power Technologies,6842
196,Greenhouse Gases – Emissions,Policy Instruments – Regulatory Instruments,55869
197,Deforestation – Forest-Risk Commodities,Mitigation – Mitigation,775
198,Mitigation – Mitigation,Sectors – Industry,5240
199,Mitigation – Mitigation,Policy Instruments – Regulatory Instruments,9644
200,Deforestation – Forest-Risk Commodities,Greenhouse Gases – Emissions,11066
201,Policy Instruments – Regulatory Instruments,Sectors – Tourism,1055
202,Policy Instruments – Regulatory Instruments,Technologies (Adaptation) – Agriculture And Land Management Technologies,243
203,Greenhouse Gases – Emissions,Sectors – Tourism,673
204,Greenhouse Gases – Emissions,Technologies (Adaptation) – Agriculture And Land Management Technologies,175
205,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Tourism,1411
206,"Sectors – Agriculture, Forestry And Other Land Use",Technologies (Adaptation) – Agriculture And Land Management Technologies,611
207,Sectors – Tourism,Technologies (Adaptation) – Agriculture And Land Management Technologies,3
208,Deforestation – Forest-Risk Commodities,Policy Instruments – Economic Instruments,1921
209,Deforestation – Deforestation,Sectors – Industry,566
210,Deforestation – Reforestation,Sectors – Industry,167
211,Policy Instruments – Information And Education,Technologies (Mitigation) – Energy And Power Technologies,3039
212,Deforestation – Reforestation,Policy Instruments – Information And Education,483
213,Deforestation – Reforestation,Technologies (Mitigation) – Energy And Power Technologies,65
214,Deforestation – Forest-Risk Commodities,Equity And Just Transition – Just Transition,415
215,Deforestation – Reforestation,"Sectors – Agriculture, Forestry And Other Land Use",2512
216,Deforestation – Reforestation,Policy Instruments – Regulatory Instruments,664
217,Financial Flows – Financial Flow,Technologies (Mitigation) – Energy And Power Technologies,8866
218,Barriers And Challenges – Barriers,Financial Flows – Financial Flow,5467
219,Financial Flows – Financial Flow,Sectors – Buildings,6051
220,Financial Flows – Financial Flow,Policy Instruments – Regulatory Instruments,6751
221,Renewables – Renewable Energy (General),Renewables – Renewable Energy (General),10554
222,Renewables – Renewable Energy (General),Technologies (Mitigation) – Energy And Power Technologies,3524
223,Barriers And Challenges – Barriers,Renewables – Renewable Energy (General),951
224,Renewables – Renewable Energy (General),Sectors – Buildings,1231
225,Policy Instruments – Regulatory Instruments,Renewables – Renewable Energy (General),10241
226,Policy Instruments – Economic Instruments,Technologies (Mitigation) – Energy And Power Technologies,3977
227,Barriers And Challenges – Barriers,Policy Instruments – Economic Instruments,2989
228,Policy Instruments – Economic Instruments,Sectors – Buildings,3004
229,Policy Instruments – Economic Instruments,Policy Instruments – Regulatory Instruments,3393
230,Sectors – Energy,Technologies (Mitigation) – Energy And Power Technologies,10161
231,Barriers And Challenges – Barriers,Sectors – Energy,2482
232,Sectors – Buildings,Sectors – Energy,11898
233,Barriers And Challenges – Barriers,Technologies (Mitigation) – Energy And Power Technologies,653
234,Sectors – Buildings,Technologies (Mitigation) – Energy And Power Technologies,2844
235,Barriers And Challenges – Barriers,Sectors – Buildings,389
236,Barriers And Challenges – Barriers,Policy Instruments – Regulatory Instruments,3212
237,Policy Instruments – Regulatory Instruments,Sectors – Buildings,11400
238,Policy Instruments – Regulatory Instruments,Renewables – Wind Energy,1751
239,Policy Instruments – Regulatory Instruments,Renewables – Bioenergy,10169
240,Policy Instruments – Economic Instruments,Renewables – Wind Energy,1176
241,Renewables – Wind Energy,Sectors – Energy,3836
242,Renewables – Renewable Energy (General),Renewables – Wind Energy,2591
243,Renewables – Bioenergy,Renewables – Wind Energy,1174
244,Renewables – Bioenergy,Sectors – Energy,20022
245,Renewables – Bioenergy,Renewables – Renewable Energy (General),5664
246,Renewables – Solar Energy,Sectors – Energy,12030
247,Renewables – Hydropower,Renewables – Renewable Energy (General),2131
248,Renewables – Bioenergy,Renewables – Hydropower,1441
249,Renewables – Hydropower,Renewables – Solar Energy,1633
250,Renewables – Renewable Energy (General),Renewables – Solar Energy,7301
251,Renewables – Bioenergy,Renewables – Solar Energy,3361
252,Policy Instruments – Information And Education,Sectors – Energy,12600
253,Renewables – Bioenergy,Renewables – Bioenergy,21772
254,Renewables – Bioenergy,Technologies (Mitigation) – Energy And Power Technologies,1933
255,Policy Instruments – Information And Education,Renewables – Bioenergy,2700
256,Fossil Fuels – Fossil Fuel,Sectors – Energy,8186
257,Fossil Fuels – Fossil Fuel,Renewables – Solar Energy,779
258,Fossil Fuels – Fossil Fuel,Renewables – Hydropower,383
259,Deforestation – Forests,Financial Flows – Financial Flow,19042
260,Deforestation – Deforestation,Greenhouse Gases – Emissions,10041
261,Greenhouse Gases – Emissions,Technologies (Mitigation) – Carbon Capture And Storage,6453
262,Deforestation – Deforestation,Financial Flows – Financial Flow,3293
263,Deforestation – Deforestation,Technologies (Mitigation) – Carbon Capture And Storage,467
264,Financial Flows – Financial Flow,Technologies (Mitigation) – Carbon Capture And Storage,3987
265,Sectors – Insurance & Financial Services,Technologies (Mitigation) – Energy And Power Technologies,917
266,Equity And Just Transition – Equity And Justice,Equity And Just Transition – Equity And Justice,1711
267,Adaptation – Adaptation,Sectors – Energy,4024
268,Adaptation – Adaptation,Deforestation – Forests,7772
269,Adaptation – Adaptation,Policy Instruments – Economic Instruments,12626
270,Adaptation – Adaptation,Policy Instruments – Governance,17165
271,Climate Related Hazards – Extreme Weather,Sectors – Water Services,19131
272,Climate Related Hazards – Extreme Weather,Policy Instruments – Information And Education,4469
273,Climate Related Hazards – Extreme Weather,Policy Instruments – Regulatory Instruments,7556
274,Policy Instruments – Information And Education,Sectors – Water Services,9511
275,Adaptation – Adaptation,Financial Flows – Financial Flow,41103
276,Policy Instruments – Regulatory Instruments,Sectors – Insurance & Financial Services,1946
277,Good Practice And Opportunities – Good Practice,Policy Instruments – Information And Education,1697
278,Good Practice And Opportunities – Good Practice,"Sectors – Agriculture, Forestry And Other Land Use",1524
279,Policy Instruments – Governance,Sectors – Industry,7640
280,Greenhouse Gases – Sulphur Hexafluoride,Sectors – Energy,2579
281,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Sulphur Hexafluoride,5486
282,Capacity Building – Capacity-Building,Policy Instruments – Governance,3390
283,Mitigation – Mitigation,Policy Instruments – Information And Education,6961
284,Greenhouse Gases – Greenhouse Gases,Policy Instruments – Governance,19830
285,Mitigation – Mitigation,Policy Instruments – Governance,12596
286,Barriers And Challenges – Challenges,Response Measures – Response Measures,132
287,Policy Instruments – Governance,Response Measures – Response Measures,157
288,Greenhouse Gases – Emissions,Policy Instruments – Governance,24142
289,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Greenhouse Gases,76599
290,Greenhouse Gases – Greenhouse Gases,Policy Instruments – Economic Instruments,12653
291,Greenhouse Gases – Greenhouse Gases,Sectors – Insurance & Financial Services,4985
292,Policy Instruments – Economic Instruments,Policy Instruments – Governance,1633
293,Policy Instruments – Governance,Technologies (Adaptation) – Hazard Management Technologies,1903
294,Good Practice And Opportunities – Good Practice,Greenhouse Gases – Emissions,2489
295,Good Practice And Opportunities – Good Practice,Greenhouse Gases – Greenhouse Gases,2701
296,Barriers And Challenges – Challenges,Greenhouse Gases – Emissions,7414
297,Fossil Fuels – Gas,Sectors – Energy,19610
298,Greenhouse Gases – Methane,Sectors – Energy,12961
299,Greenhouse Gases – Sulphur Hexafluoride,Sectors – Industry,2821
300,Greenhouse Gases – Perfluorocarbons,Sectors – Industry,2767
301,Sectors – Energy,Sectors – Industry,39506
302,Greenhouse Gases – Hydrofluorocarbons,Sectors – Industry,4719
303,Greenhouse Gases – Carbon Dioxide,Sectors – Industry,5499
304,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Sulphur Hexafluoride,3644
305,Greenhouse Gases – Emissions,Greenhouse Gases – Sulphur Hexafluoride,7287
306,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Sulphur Hexafluoride,3716
307,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Sulphur Hexafluoride,1611
308,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Perfluorocarbons,4873
309,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Hydrofluorocarbons,8451
310,Greenhouse Gases – Perfluorocarbons,Sectors – Energy,2329
311,Greenhouse Gases – Emissions,Greenhouse Gases – Perfluorocarbons,7443
312,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Perfluorocarbons,4271
313,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Perfluorocarbons,1575
314,Greenhouse Gases – Hydrofluorocarbons,Sectors – Energy,5268
315,Greenhouse Gases – Carbon Dioxide,Sectors – Energy,7633
316,Greenhouse Gases – Emissions,Greenhouse Gases – Hydrofluorocarbons,13355
317,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Emissions,34123
318,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Hydrofluorocarbons,2167
319,Greenhouse Gases – Greenhouse Gases,Policy Instruments – Information And Education,7393
320,Greenhouse Gases – Emissions,Policy Instruments – Information And Education,10918
321,Greenhouse Gases – Greenhouse Gases,Policy Instruments – Regulatory Instruments,25831
322,Greenhouse Gases – Emissions,Sectors – Transport,27587
323,Greenhouse Gases – Methane,Sectors – Industry,6173
324,Greenhouse Gases – Methane,Renewables – Bioenergy,2892
325,Renewables – Bioenergy,Sectors – Industry,7336
326,Greenhouse Gases – Emissions,Sectors – Water Services,19406
327,Greenhouse Gases – Greenhouse Gases,Sectors – Water Services,7858
328,Deforestation – Forests,Greenhouse Gases – Greenhouse Gases,20785
329,Greenhouse Gases – Ozone,Sectors – Industry,1234
330,Greenhouse Gases – Hydrofluorocarbons,Policy Instruments – Information And Education,205
331,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Ozone,1305
332,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Hydrofluorocarbons,3179
333,Greenhouse Gases – Ozone,Sectors – Energy,1201
334,Greenhouse Gases – Ozone,Policy Instruments – Information And Education,182
335,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Ozone,2363
336,Greenhouse Gases – Methane,Greenhouse Gases – Methane,9223
337,Greenhouse Gases – Carbon Dioxide,"Sectors – Agriculture, Forestry And Other Land Use",5178
338,Good Practice And Opportunities – Good Practice,Policy Instruments – Governance,899
339,Good Practice And Opportunities – Good Practice,Sectors – Industry,550
340,Policy Instruments – Regulatory Instruments,Technologies (Mitigation) – Waste And Recycling Technologies,2723
341,Greenhouse Gases – Greenhouse Gases,Technologies (Mitigation) – Waste And Recycling Technologies,1825
342,Sectors – Energy,Technologies (Mitigation) – Waste And Recycling Technologies,2578
343,Greenhouse Gases – Emissions,Technologies (Mitigation) – Waste And Recycling Technologies,4435
344,Sectors – Water Services,Technologies (Mitigation) – Waste And Recycling Technologies,2309
345,Technologies (Mitigation) – Waste And Recycling Technologies,Technologies (Mitigation) – Waste And Recycling Technologies,1880
346,Policy Instruments – Governance,Sectors – Energy,10554
347,Mitigation – Mitigation,Sectors – Energy,13733
348,Adaptation – Adaptation,Sectors – Industry,2905
349,Mitigation – Mitigation,Mitigation – Mitigation,22379
350,Policy Instruments – Information And Education,Sectors – Health Services,5176
351,Financial Flows – Financial Flow,Policy Instruments – Information And Education,5068
352,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Health Services,2083
353,Mitigation – Mitigation,Sectors – Health Services,1148
354,Mitigation – Mitigation,Renewables – Bioenergy,3559
355,Deforestation – Forests,Mitigation – Mitigation,11204
356,Deforestation – Deforestation,Mitigation – Mitigation,1854
357,Financial Flows – Financial Flow,Mitigation – Mitigation,27016
358,Greenhouse Gases – Emissions,Sectors – Health Services,2030
359,Renewables – Bioenergy,Sectors – Health Services,184
360,Deforestation – Forests,Sectors – Health Services,250
361,Deforestation – Deforestation,Sectors – Health Services,77
362,Financial Flows – Financial Flow,Sectors – Health Services,4868
363,Deforestation – Deforestation,Renewables – Bioenergy,1409
364,Financial Flows – Financial Flow,Renewables – Bioenergy,7819
365,Sectors – Energy,Sectors – Transport,13518
366,Deforestation – Forests,Sectors – Transport,572
367,Sectors – Industry,Sectors – Transport,3759
368,Policy Instruments – Governance,Sectors – Transport,2663
369,Barriers And Challenges – Challenges,Sectors – Transport,1014
370,Sectors – Transport,Technologies (Adaptation) – Hazard Management Technologies,201
371,Barriers And Challenges – Challenges,Technologies (Adaptation) – Hazard Management Technologies,436
372,Policy Instruments – Information And Education,Renewables – Renewable Energy (General),3391
373,Policy Instruments – Information And Education,Renewables – Hydropower,265
374,Mitigation – Mitigation,Renewables – Renewable Energy (General),5126
375,Mitigation – Mitigation,Renewables – Hydropower,508
376,Mitigation – Mitigation,Sectors – Water Services,3470
377,Policy Instruments – Governance,Sectors – Water Services,6681
378,Barriers And Challenges – Challenges,Sectors – Energy,3759
379,Barriers And Challenges – Challenges,Renewables – Bioenergy,1087
380,Barriers And Challenges – Challenges,Mitigation – Mitigation,5571
381,Policy Instruments – Governance,Renewables – Bioenergy,1454
382,Mitigation – Mitigation,Sectors – Transport,2613
383,Climate Related Hazards – Environmental Degradatation,Mitigation – Mitigation,1461
384,Fossil Fuels – Oil,Mitigation – Mitigation,1227
385,Mitigation – Mitigation,Vulnerable Groups – Local And Rural Communities,341
386,Mitigation – Mitigation,Technologies (Adaptation) – Water Management And Conservation Technologies,94
387,Good Practice And Opportunities – Opportunity,Mitigation – Mitigation,3678
388,Climate Related Hazards – Environmental Degradatation,Sectors – Water Services,3036
389,Climate Related Hazards – Environmental Degradatation,Policy Instruments – Regulatory Instruments,2223
390,Climate Related Hazards – Environmental Degradatation,Fossil Fuels – Oil,203
391,Climate Related Hazards – Environmental Degradatation,Renewables – Hydropower,56
392,Climate Related Hazards – Environmental Degradatation,Vulnerable Groups – Local And Rural Communities,114
393,Climate Related Hazards – Environmental Degradatation,Technologies (Adaptation) – Water Management And Conservation Technologies,58
394,Climate Related Hazards – Environmental Degradatation,Good Practice And Opportunities – Opportunity,472
